month,state,mobility,incgr,state_month
1,Andhra Pradesh,-17.7742,-9.308,AP1
2,Andhra Pradesh,-58.76,-51.666,AP2
3,Andhra Pradesh,-47.0323,-27.008,AP3
4,Andhra Pradesh,-30.52,-11.773,AP4
5,Andhra Pradesh,-36.1484,-4.679,AP5
6,Andhra Pradesh,-35.5097,6.7829,AP6
7,Andhra Pradesh,-26.5667,-4.206,AP7
8,Andhra Pradesh,-18.7871,-18.508,AP8
1,Assam,-17.3226,-32.119,AS1
2,Assam,-54.04,-51.654,AS2
3,Assam,-39.7613,-19.691,AS3
4,Assam,-28.3667,-19.921,AS4
5,Assam,-37.6903,-14.647,AS5
6,Assam,-30.5613,-9.525,AS6
7,Assam,-19.3933,-17.348,AS7
8,Assam,-14.4129,-28.949,AS8
1,Bihar,-14.2968,-27.758,BR1
2,Bihar,-43.48,-52.412,BR2
3,Bihar,-28.5419,-51.259,BR3
4,Bihar,-6.32,-9.543,BR4
5,Bihar,-18.7677,4.7289,BR5
6,Bihar,-15.0064,2.1792,BR6
7,Bihar,-7.75333,-2.749,BR7
8,Bihar,-4.14839,-17.1,BR8
1,Chhattisgarh,-22.1871,-7.358,CG1
2,Chhattisgarh,-56.42,-40.493,CG2
3,Chhattisgarh,-42.6968,-19.942,CG3
4,Chhattisgarh,-31.6467,-12.576,CG4
5,Chhattisgarh,-32.5613,-11.329,CG5
6,Chhattisgarh,-33.3742,-10.141,CG6
7,Chhattisgarh,-35.1,-17.936,CG7
8,Chhattisgarh,-23.129,-22.578,CG8
1,Delhi,-32.5807,-21.167,DL1
2,Delhi,-81.7133,-62.582,DL2
3,Delhi,-71.0839,-60.563,DL3
4,Delhi,-57.16,-31.934,DL4
5,Delhi,-51.3032,-34.235,DL5
6,Delhi,-46.1871,-34.803,DL6
7,Delhi,-40.32,-35.257,DL7
8,Delhi,-33.5871,-33.202,DL8
1,Goa,-30.5161,-20.597,GA1
2,Goa,-66.0067,-43.432,GA2
3,Goa,-48.8968,-20.538,GA3
4,Goa,-47.9667,-13.076,GA4
